CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Measure Date Range
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_ELIGCASES,1.324,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_NUMERATOR,1,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_007_01_SIR,0.755,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_011_06_ADJ_CHG_MOBL_SCORE,8.41,-,01/01/2024,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_011_06_DENOMINATOR,34,-,01/01/2024,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_011_06_OBS_CHG_MOBL_SCORE,7.56,-,01/01/2024,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_012_01_DENOMINATOR,241,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_012_01_NUMERATOR,0,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_012_01_OBS_RATE,0.00,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_CI_LOWER,0.439,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_CI_UPPER,2.252,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_COMP_PERF,No Different than the National Benchmark,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_DOPC_DAYS,"7,230",-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_ELIGCASES,5.542,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_NUMERATOR,6,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_014_01_SIR,1.083,-,10/01/2024,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_015_01_DENOMINATOR,372,-,10/01/2024,03/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_015_01_NUMERATOR,247,-,10/01/2024,03/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_015_01_OBS_RATE,66.40,-,10/01/2024,03/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_COMP_PERF,No Different than the National Rate,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_OBS_RATE,15.68,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_OBS_READM,37,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_RSRR,19.85,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_RSRR_2_5,15.71,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_RSRR_97_5,23.83,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_017_01_PPR_PD_VOLUME,236,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_COMP_PERF,No Different than the National Rate,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_NUMBER,52,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_OBS_RATE,22.51,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_RS_RATE,18.49,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_RS_RATE_2_5,13.66,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_RS_RATE_97_5,22.80,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_018_02_DTC_VOLUME,231,-,10/01/2023,09/30/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_019_01_MSPB_NUMB,210,-,10/01/2022,09/30/2024,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_019_01_MSPB_SCORE,1.04,-,10/01/2022,09/30/2024,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_ADJ_RATE,3.87,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_DENOMINATOR,230,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_NUMERATOR,7,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_021_01_OBS_RATE,3.04,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_020_01_DENOMINATOR,241,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_020_01_NUMERATOR,238,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_020_01_OBS_RATE,98.76,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_022_02_DENOMINATOR_C1,31,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_022_02_NUMERATOR_C1,31,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_022_02_OBS_RATE_C1,100.00,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_022_02_DENOMINATOR_C2,30,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_022_02_NUMERATOR_C2,30,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_022_02_OBS_RATE_C2,100.00,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_023_03_ADJ_RATE,68.23,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_023_03_DENOMINATOR,31,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_023_03_NUMERATOR,18,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_023_03_OBS_RATE,58.06,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_024_02_DENOMINATOR,510,-,10/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_024_02_NUMERATOR,0,-,10/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_024_02_OBS_RATE,0.00,-,10/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_025_01_DENOMINATOR,151,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_025_01_NUMERATOR,151,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_025_01_OBS_RATE,100.00,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_026_02_DENOMINATOR,79,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_026_02_NUMERATOR,79,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_026_02_OBS_RATE,100.00,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_027_01_DENOMINATOR,174,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_027_01_NUMERATOR,39,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_027_01_OBS_RATE,22.41,-,01/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_028_02_DENOMINATOR,241,-,10/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_028_02_NUMERATOR,1,-,10/01/2025,12/31/2025,-
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,L_028_02_OBS_RATE,0.41,-,10/01/2025,12/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_CI_LOWER,Not Available,6,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_CI_UPPER,0.738,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_COMP_PERF,Not Available,6,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_DOPC_DAYS,"2,279",-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_ELIGCASES,4.059,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_NUMERATOR,0,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_006_01_SIR,0.000,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_007_01_CI_LOWER,0.020,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_007_01_CI_UPPER,2.020,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_007_01_COMP_PERF,No Different than the National Benchmark,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_007_01_DOPC_DAYS,"2,015",-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_007_01_ELIGCASES,2.442,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_007_01_NUMERATOR,1,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_007_01_SIR,0.410,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_011_06_ADJ_CHG_MOBL_SCORE,7.33,-,01/01/2024,12/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_011_06_DENOMINATOR,112,-,01/01/2024,12/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_011_06_OBS_CHG_MOBL_SCORE,6.95,-,01/01/2024,12/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_012_01_DENOMINATOR,276,-,01/01/2025,12/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_012_01_NUMERATOR,0,-,01/01/2025,12/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_012_01_OBS_RATE,0.00,-,01/01/2025,12/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_014_01_CI_LOWER,0.005,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_014_01_CI_UPPER,0.466,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_014_01_COMP_PERF,Better than the National Benchmark,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_014_01_DOPC_DAYS,"9,207",-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_014_01_ELIGCASES,10.581,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_014_01_NUMERATOR,1,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_014_01_SIR,0.095,-,10/01/2024,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_015_01_DENOMINATOR,282,-,10/01/2024,03/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_015_01_NUMERATOR,122,-,10/01/2024,03/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_015_01_OBS_RATE,43.26,-,10/01/2024,03/31/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_017_01_PPR_PD_COMP_PERF,No Different than the National Rate,-,10/01/2023,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_017_01_PPR_PD_OBS_RATE,32.29,-,10/01/2023,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_017_01_PPR_PD_OBS_READM,31,-,10/01/2023,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_017_01_PPR_PD_RSRR,25.04,-,10/01/2023,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_017_01_PPR_PD_RSRR_2_5,19.09,-,10/01/2023,09/30/2025,-
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,L_017_01_PPR_PD_RSRR_97_5,31.39,-,10/01/2023,09/30/2025,-
