"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
RI,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,10,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,1,2,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,2,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,0,0,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_CABG,Rate of readmission for CABG,0,1,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,9,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,3,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
RI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,9,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,21,0,31
SC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,7,38,5,8
SC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,14,26,15,4
SC,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,52,0,0,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,17,1,26,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,18,0,26,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,47,0,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,26,0,25,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_CABG,Rate of readmission for CABG,1,15,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,52,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,52,0,3,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,25,0,21,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,51,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,4,0,30
SD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,12,3,37
SD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,19,16,2,18
SD,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,24,1,11,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,31,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,31,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,13,2,12,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,29,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,14,0,40,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,18,0,37,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,11,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,35,0,20,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,34,2,37
TN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,4,58,11,21
TN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,11,57,17,11
TN,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,72,0,6,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,21,0,37,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,22,0,37,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,55,2,17,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,45,0,31,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_CABG,Rate of readmission for CABG,0,20,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,74,0,20,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,76,1,18,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,36,0,23,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,84,1,9,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,106,11,138
TX,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,17,193,8,132
TX,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,41,194,31,90
TX,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,237,1,50,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,54,0,148,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,55,0,148,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,6,210,6,73,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,170,0,76,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_CABG,Rate of readmission for CABG,0,93,0,16,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,203,0,138,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,229,0,110,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,114,0,122,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,268,1,79,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,9,0,12
UT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,17,9,0,19
UT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,30,7,0,8
UT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,36,0,4,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,12,1,21,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,12,0,21,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,33,0,9,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,13,1,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_CABG,Rate of readmission for CABG,0,8,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,18,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,26,1,18,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,20,0,18,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,35,2,8,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,37,0,36
VA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,5,69,2,4
VA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,8,62,9,4
VA,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,70,2,2,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,31,0,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,31,1,34,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,62,1,6,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,46,0,30,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_CABG,Rate of readmission for CABG,0,18,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,76,0,5,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,74,3,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,38,0,25,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,78,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2022,06/30/2025,Not Available,Not Available,Not Available,Not Available
VI,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,5,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,1,0,13
VT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,11,1,2
VT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,11,3,0
VT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,8,0,3,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,5,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,5,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,8,0,1,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,1,0,12,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_CABG,Rate of readmission for CABG,0,1,0,0,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,11,0,4,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,14,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,6,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,14,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,29,1,44
WA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,3,52,4,27
WA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,18,41,10,19
WA,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,54,0,7,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,32,1,35,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,32,0,35,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,49,2,7,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,35,0,40,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_CABG,Rate of readmission for CABG,0,15,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,55,0,31,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,55,3,27,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,37,0,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,68,1,18,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,2,28,3,72
WI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,11,76,5,33
WI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,23,68,9,25
WI,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,83,0,11,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,54,0,53,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,54,0,53,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,65,0,32,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,40,0,70,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_CABG,Rate of readmission for CABG,0,21,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,90,0,35,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,100,0,24,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,27,0,62,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,107,1,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,13,0,31
WV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,28,4,15
WV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,7,18,14,8
WV,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,24,0,11,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
