"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001035,THE SURGERY CENTER LLC,1440 HWY DR,OXFORD,AL,36203,,(256) 241-2614,99,1,0,99,96,4,0,98,92,5,3,96,95,3,2,97,3,528,144,28,10/01/2024,09/30/2025
01C0001037,SOUTH ALABAMA OUTPATIENT SERVICES,201 EAST WATTS ST.,ENTERPRISE,AL,36330,,(334) 393-5474,98,2,0,99,93,6,1,96,89,10,1,96,90,9,1,96,3,725,129,18,10/01/2024,09/30/2025
01C0001039,DOTHAN SURGERY CENTER LLC,1450 ROSS CLARK CIR SUITE 4,DOTHAN,AL,36301,,(334) 793-3442,98,2,0,99,93,6,1,96,93,6,1,96,90,8,2,95,,1283,429,33,10/01/2024,09/30/2025
01C0001040,NORTHEAST ALABAMA EYE SURGERY CENTER,314 SOUTH 5TH ST,GADSDEN,AL,35901,,(256) 543-4152,97,3,0,98,91,7,2,94,89,5,6,95,86,13,1,95,"3,6",291,99,34,10/01/2024,09/30/2025
01C0001041,VISION CORRECTION CENTER,1406 MCFARLAND BLVD NORTH SUITE 2B,TUSCALOOSA,AL,35406,,(205) 248-0095,98,2,0,99,89,8,3,93,90,6,4,95,89,8,3,96,"3,6",1007,83,8,10/01/2024,09/30/2025
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,96,3,1,98,92,7,1,96,88,11,1,96,84,14,2,94,,589,112,19,10/01/2024,09/30/2025
01C0001043,SURGERY CENTER OF DECATUR LP,1122 14TH AVE. SE,DECATUR,AL,35601,,(256) 560-2890,98,2,0,99,94,5,1,97,89,9,2,95,90,8,2,95,3,1474,419,28,10/01/2024,09/30/2025
01C0001044,MADISON SURGERY CENTER LLC,460 LANIER RD,MADISON,AL,35758,,(256) 319-9000,98,2,0,99,96,4,0,98,94,4,2,97,90,8,2,96,3,563,111,20,10/01/2024,09/30/2025
01C0001045,INFIRMARY ASC FAIRHOPE LLC DBA FAIRHOPE SURGERY CENTER,411 NORTH SECTION STREET,FAIRHOPE,AL,36532,,(614) 374-6496,98,2,0,99,94,5,1,96,91,8,1,96,91,8,1,96,3,3241,895,28,10/01/2024,09/30/2025
01C0001046,SHELBY BAPTIST AMBULATORY SURGERY CENTER LLC,1010 1ST ST N,ALABASTER,AL,35007,,(205) 620-8400,98,2,0,99,94,5,1,96,90,9,1,96,90,10,0,96,,1041,303,29,10/01/2024,09/30/2025
01C0001048,SURGERY CENTER OF CULLMAN LLC,1403 WALL ST NORTHEAST,CULLMAN,AL,35055,,(256) 736-2811,99,1,0,99,95,4,1,97,91,8,1,96,89,9,2,95,,2070,558,27,10/01/2024,09/30/2025
01C0001050,EYE SURGERY CENTER OF NORTH ALABAMA INC,3501 MEMORIAL PARKWAY SOUTHWEST,HUNTSVILLE,AL,35801,,(256) 428-3937,98,1,1,99,92,5,3,95,86,13,1,95,92,8,0,97,"3,6",1074,78,7,10/01/2024,09/30/2025
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,96,4,0,98,90,8,2,94,79,18,3,93,81,18,1,93,,2482,464,19,10/01/2024,09/30/2025
01C0001053,JACKSON SURGERY CENTER LLC,1725 PARK PL,MONTGOMERY,AL,36106,,(334) 293-3920,98,2,0,99,92,7,1,95,86,11,3,94,86,13,1,95,,749,166,22,10/01/2024,09/30/2025
01C0001056,CUTANEOUS ONCOLOGY AND SURGERY CENTER LLC DBA SMOOTHROCK SURGERY CENTER,1940 STONEGATE DR SUITE 140,VESTAVIA HILLS,AL,35242,,(205) 968-3919,98,2,0,99,90,8,2,94,92,8,0,97,93,6,1,97,3,734,261,36,10/01/2024,09/30/2025
01C0001057,FRESENIUS VASCULAR CARE MONTGOMERY ASC LLC,1501 FOREST AVENUE,MONTGOMERY,AL,36106,,(334) 593-7434,100,0,0,100,96,3,1,98,92,6,2,96,85,7,8,90,"3,6",788,83,11,10/01/2024,09/30/2025
01C0001058,NEPHROLOGY VASCULAR LAB OF CENTRAL ALABAMA ASC LLC,1280 COLUMBIANA ROAD SUITE 120,BIRMINGHAM,AL,35216,,(205) 916-5201,97,3,0,99,92,6,2,95,91,7,2,95,85,12,3,93,3,991,110,11,10/01/2024,09/30/2025
01C0001059,ALABAMA EYE SURGERY CENTER LLC,5937 WEST MAIN ST,DOTHAN,AL,36305,,(334) 446-0872,98,2,0,99,93,5,2,95,93,6,1,97,94,6,0,98,3,683,205,31,10/01/2024,09/30/2025
01C0001060,SUNRISE SKIN CANCER SURGERY CENTER LLC,70 MIDTOWN PARK EAST SUITE A,MOBILE,AL,36606,,(251) 289-1786,95,4,1,97,88,7,5,92,88,11,1,95,84,15,1,94,3,324,103,32,10/01/2024,09/30/2025
01C0001061,AFFINITY GASTROENTEROLOGY ASC LLC,3686 GRANDVIEW PARKWAY SUITE 610,BIRMINGHAM,AL,35243,,(205) 971-3706,98,2,0,99,93,5,2,95,91,7,2,96,89,10,1,96,,1232,301,24,10/01/2024,09/30/2025
01C0001062,SURGICAL CLINIC SOLUTIONS LLC DBA SURGICAL INSTITUTE OF ALABAMA,1021 MONTGOMERY HIGHWAY SUITE 100,VESTAVIA HILLS,AL,35216,,(205) 421-4803,97,2,1,98,92,6,2,95,90,8,2,96,86,11,3,94,,621,193,31,10/01/2024,09/30/2025
01C0001063,EAMC-LANIER AMBULATORY SURGERY CENTER LLC,4800 48TH STREET,VALLEY,AL,36801,,(334) 756-9180,98,2,0,99,93,7,0,96,86,12,2,95,87,12,1,95,3,620,137,23,10/01/2024,09/30/2025
01C0001064,SEES GROUP ALABAMA LLC DBA EYE SURGERY CENTER OF HOMEWOOD,200 WILDWOOD PARKWAY SUITE 100,HOMEWOOD,AL,35209,,(205) 943-4600,98,1,1,99,93,6,1,96,93,6,1,97,94,4,2,97,3,536,156,30,10/01/2024,09/30/2025
01C0001065,EAST ALABAMA AMBULATORY SURGERY CENTER,900 CAMP AUBURN ROAD SUITE 200,AUBURN,AL,36832,,(000) 000-0000,99,1,0,99,94,5,1,96,94,5,1,97,94,3,3,96,,1077,335,31,10/01/2024,09/30/2025
01C0001066,GUT ENDO LLC DBA CENTER FOR DIGESTIVE HEALTH,301 MEDICAL PARK BOULEVARD,DOTHAN,AL,36301,,(334) 836-1212,98,2,0,99,93,6,1,96,94,5,1,97,92,8,0,97,,969,189,20,10/01/2024,09/30/2025
01C0001068,UNITED VASCULAR OF HUNTSVILLE LLC,4700 WHITESBURG DRIVE SOUTHWEST SUITE 300,HUNTSVILLE,AL,35802,,(804) 655-6150,97,3,0,98,94,4,2,96,91,6,3,96,90,4,6,93,,566,125,22,10/01/2024,09/30/2025
01C0001069,ONE NINETEEN GI ASC LLC,7191 CAHABA VALLEY ROAD SUITE 202,BIRMINGHAM,AL,35242,,(205) 855-6176,99,1,0,99,95,4,1,97,95,4,1,97,93,6,1,97,3,805,234,29,10/01/2024,09/30/2025
01C0001070,HUNSTVILLE SURGERY CENTER LLC DBA LASER EYE SURGERY CENTER,2308 MARKET PLACE SOUTHWEST,HUNTSVILLE,AL,35801,,(256) 863-3100,98,2,0,99,93,6,1,96,90,9,1,96,90,9,1,96,3,793,181,23,10/01/2024,09/30/2025
01C0001104,INFIRMARY ASC DAPHNE LLC,27961 US HIGHWAY 98,DAPHNE,AL,36526,,(251) 626-6646,98,2,0,99,93,6,1,96,96,4,0,98,91,9,0,97,"3,6",324,84,26,10/01/2024,09/30/2025
01C0001106,USA BALDWIN COUNTY ASC LLC DBA USA HEALTH BALDWIN ASC,21890 STATE HIGHWAY 181,FAIRHOPE,AL,36532,,(251) 517-4284,97,3,0,98,92,6,2,95,90,8,2,95,87,10,3,94,3,1791,472,26,10/01/2024,09/30/2025
01C0001107,FLORENCE EYE SURGERY CENTER LLC,2415 HELTON DRIVE SUITE B,FLORENCE,AL,35630,,(256) 415-6110,,,,,,,,,,,,,,,,,1,,,,,
02C0001000,AWH HOLDINGS LLC,4115 LAKE OTIS PKWY,ANCHORAGE,AK,99508,,(907) 762-8102,97,3,0,99,94,5,1,97,92,6,2,96,85,13,2,94,3,675,167,25,10/01/2024,09/30/2025
02C0001001,ALASKA SURGERY CENTER,4100 LAKE OTIS PARKWAY SUITE 222,ANCHORAGE,AK,99508,,(907) 550-6241,98,2,0,99,93,6,1,96,92,6,2,97,92,6,2,96,3,765,268,35,10/01/2024,09/30/2025
02C0001002,GENEVA WOODS SURGICAL CENTER INC,3730 RHONE CIR SUITE 100,ANCHORAGE,AK,99508,,(907) 562-4764,97,2,1,98,93,6,1,96,88,10,2,94,87,9,4,93,3,623,166,27,10/01/2024,09/30/2025
02C0001004,PACIFIC CATARACT AND LASER INSTITUTE INC,1600 A ST STE. 200,ANCHORAGE,AK,99501,,(360) 242-3000,98,2,0,99,90,9,1,94,87,11,2,95,90,9,1,96,3,505,179,36,10/01/2024,09/30/2025
02C0001005,ANCHORAGE ENDOSCOPY CENTER LLC,"2841 DEBARR RD, STE. 51",ANCHORAGE,AK,99508,,(907) 222-9194,95,4,1,97,95,4,1,97,89,10,1,95,86,13,1,95,3,900,253,28,10/01/2024,09/30/2025
02C0001007,ALASKA DIGESTIVE CENTER,4048 LAUREL ST SUITE 103 A,ANCHORAGE,AK,99508,,(907) 563-1750,96,3,1,98,93,5,2,96,89,9,2,95,83,14,3,92,3,1234,307,25,10/01/2024,09/30/2025
02C0001008,ALPINE SURGICENTER LLC DBA ALPINE SURGERY CENTER,3801 LAKE OTIS PARKWAY SUITE 100,ANCHORAGE,AK,99508,,(615) 344-1406,98,2,0,99,94,5,1,97,92,7,1,96,90,7,3,95,3,970,339,35,10/01/2024,09/30/2025
02C0001011,PROVIDENCE SURGERY CENTERS LLC,3831 PIPER ST. S110,ANCHORAGE,AK,99508,,(907) 339-7800,99,1,0,99,92,7,1,96,92,7,1,96,89,9,2,95,,995,273,27,10/01/2024,09/30/2025
02C0001012,SURGERY CENTER OF FAIRBANKS LLC,2310 PEGER RD,FAIRBANKS,AK,99709,,(907) 770-9608,98,2,0,99,90,9,1,94,98,1,1,97,92,8,0,97,3,848,153,18,10/01/2024,09/30/2025
02C0001014,SOUTH ANCHORAGE SURGERY CENTER LLC,"1917 ABBOTT RD, SUITE 103",ANCHORAGE,AK,99507,,(907) 770-3244,98,2,0,99,94,5,1,97,90,8,2,95,87,11,2,94,3,851,188,22,10/01/2024,09/30/2025
02C0001015,SURGERY CENTER OF WASILLA LLC,3190 EAST MERIDIAN PARK LOOP SUITE 111,WASILLA,AK,99654,,(907) 631-3578,97,2,1,98,95,4,1,97,93,5,2,95,89,9,2,95,3,508,185,36,10/01/2024,09/30/2025
02C0001016,ALASKA HEART INSTITUTE LLC,"3220 PROVIDENCE DR, SUITE E3-083",ANCHORAGE,AK,99508,,(907) 264-5835,97,3,0,98,92,7,1,96,89,9,2,94,80,17,3,92,"3,6",161,73,45,10/01/2024,09/30/2025
02C0001018,SUSITNA SURGERY CENTER LLC,2490 SOUTH WOODWORTH LOOP SUITE 100,PALMER,AK,99645,,(907) 861-6540,97,2,1,98,95,4,1,97,86,9,5,94,84,15,1,94,,811,147,18,10/01/2024,09/30/2025
02C0001020,ASC NORTH LLC,6911 DEBARR ROAD,ANCHORAGE,AK,99504,,(907) 770-1084,99,1,0,100,97,3,0,99,95,4,1,97,90,8,2,96,"3,6",234,80,34,10/01/2024,09/30/2025
02C0001022,COPPER BASIN SURGERY CENTER LLC,3035 EAST PALMER WASILLA HIGHWAY SUITE 501,WASILLA,AK,99654,,(907) 357-5300,,,,,,,,,,,,,,,,,1,,,,,
03C0001001,BANNER PHOENIX SURGERY CENTER LLC,1111 EAST MCDOWELL ROAD SUITE B,PHOENIX,AZ,85006,,(602) 368-3854,98,2,0,99,93,6,1,96,88,10,2,95,89,10,1,96,3,1164,236,20,10/01/2024,09/30/2025
03C0001016,SURGERY CENTER OF PEORIA,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 234-4307,98,2,0,99,92,6,2,95,86,11,3,94,86,12,2,94,,1556,354,23,10/01/2024,09/30/2025
03C0001020,EYE SURGERY CENTER OF ARIZONA,220 SOUTH 63RD ST,MESA,AZ,85206,,(512) 740-4848,,,,,,,,,,,,,,,,,1,,,,,
03C0001021,EYE INSTITUTE AT BOSWELL DBA SUN CITY EYE,10541 WEST THUNDERBIRD BLVD,SUN CITY,AZ,85351,,(623) 933-3402,96,4,0,98,91,7,2,95,89,9,2,95,85,12,3,94,,3300,1072,32,10/01/2024,09/30/2025
03C0001024,BARNET DULANEY PERKINS EYE CENTER PLLC,40 CAPRI BLVD. #102,LAKE HAVASU CITY,AZ,86403,,(928) 855-9477,95,4,1,97,87,11,2,93,82,8,10,91,79,17,4,92,"3,6",490,77,16,10/01/2024,09/30/2025
03C0001041,OUTPATIENT SURGICAL CARE LTD,"1530 WEST GLENDALE AVE, SUITE 105",PHOENIX,AZ,85021,,(602) 995-3395,98,2,0,99,94,5,1,97,90,9,1,96,89,10,1,96,3,757,254,34,10/01/2024,09/30/2025
03C0001042,CASA GRANDESOUTHWESTERN EYE CENTER,560 N. CAMINO MERCADO STE. 1,CASA GRANDE,AZ,85122,,(480) 892-8400,95,4,1,97,83,14,3,90,75,16,9,90,78,20,2,92,"3,6",549,81,15,10/01/2024,09/30/2025
03C0001043,PRESCOTT OUTPATIENT SURGICAL CENTER,815 AINSWORTH DR.,PRESCOTT,AZ,86301,,(928) 443-6566,99,1,0,99,91,6,3,94,88,10,2,95,90,9,1,96,,710,270,38,10/01/2024,09/30/2025
03C0001044,BARNET DULANEY PERKINS EYE CENTER II PLLC DBA AMERICAN VISION PARTNERS,160 WEST UNIVERSITY DRIVE,MESA,AZ,85201,,(000) 000-0000,93,6,1,96,93,6,1,96,77,20,3,92,70,23,7,86,"3,6",589,73,13,10/01/2024,09/30/2025
03C0001047,SOUTHWESTERN EYE CENTER LTD,1055 SOUTH STAPLEY DR,MESA,AZ,85213,,(480) 892-8400,,,,,,,,,,,,,,,,,1,,,,,
03C0001052,CENTER FOR ADVANCED SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,98,2,0,99,94,4,2,96,95,3,2,97,93,6,1,97,,983,240,24,10/01/2024,09/30/2025
03C0001053,AMBULATORY SURGERY CENTER OF TUCSON INC,1502 NORTH TUCSON BLVD.,TUCSON,AZ,85716,,(520) 326-4321,97,3,0,98,89,9,2,93,87,10,3,94,85,12,3,94,3,560,206,37,10/01/2024,09/30/2025
03C0001054,RF EYE PC DBA COCHISE EYE AND LASER,2445 EAST WILCOX DR,SIERRA VISTA,AZ,85635,,(520) 458-8131,96,4,0,98,89,8,3,93,83,13,4,93,84,12,4,93,3,587,212,36,10/01/2024,09/30/2025
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,97,2,1,98,94,4,2,96,89,9,2,95,87,11,2,94,,1154,208,18,10/01/2024,09/30/2025
03C0001057,SOUTHWESTERN EYE CENTER LTD,3321 E. BELLE RD. STE. B12,PHOENIX,AZ,85254,,(480) 892-8400,96,3,1,98,86,11,3,91,80,14,6,92,80,15,5,91,"3,6",503,94,19,10/01/2024,09/30/2025
03C0001059,NORTHWEST EYE SPECIALISTSLLC,5599 N. ORACLE RD,TUCSON,AZ,85704,,(520) 293-6740,98,2,0,99,95,4,1,97,91,7,2,96,91,4,5,95,3,561,137,25,10/01/2024,09/30/2025
03C0001063,SCOTTSDALE EYE SURGERY CENTER PC,3320 NORTH MILLER RD,SCOTTSDALE,AZ,85251,,(480) 291-7963,96,3,1,98,85,12,3,91,90,7,3,95,85,14,1,94,3,752,161,22,10/01/2024,09/30/2025
03C0001070,BANNER PEORIA SURGERY CENTER,"13640 NORTH PLAZA DEL RIO BLVD, SUITE 135",PEORIA,AZ,85381,,(623) 285-0084,96,4,0,98,92,6,2,95,85,13,2,94,80,18,2,93,3,1894,546,29,10/01/2024,09/30/2025
03C0001071,NORTHERN ARIZONA HEALTHCARE ORTHOPEDIC SURGERY CENTER LLC,2100 NORTH BEAVER ST,FLAGSTAFF,AZ,86001,,(928) 214-3709,98,2,0,99,94,5,1,97,85,13,2,95,85,13,2,94,,810,221,27,10/01/2024,09/30/2025
03C0001080,SUN CITY AZ ENDOSCOPY ASC LLC,13640 N. 99 AVE. STE. 700,SUN CITY,AZ,85351,,(623) 523-0501,97,3,0,98,95,4,1,97,95,4,1,97,92,5,3,96,,2867,1119,39,10/01/2024,09/30/2025
03C0001087,MAYO CLINIC ARIZONA DBA MAYO CLINIC SCOTTSDALE,13400 EAST SHEA BLVD,SCOTTSDALE,AZ,85259,,(507) 293-0835,98,2,0,99,93,6,1,96,93,5,2,97,92,5,3,96,3,1597,567,36,10/01/2024,09/30/2025
03C0001093,AIMS OUTPATIENT SURGERY,3636 STOCKTON HILL RD,KINGMAN,AZ,86409,,(928) 757-3636,93,5,2,96,83,12,5,89,64,29,7,89,63,31,6,85,"3,6",346,58,17,10/01/2024,09/30/2025
03C0001202,RUMMEL EYE CARE,1022 WILLOW CREEK RD,PRESCOTT,AZ,86301,,(928) 445-1341,98,2,0,99,91,7,2,95,90,7,3,95,89,7,4,94,,472,217,46,10/01/2024,09/30/2025
03C0001203,BANNER DESERT SURGERY CENTER,"2355 E. CAMELBACK ROAD, SUITE 700",PHOENIX,AZ,85016,,(574) 361-7619,98,2,0,99,90,8,2,94,87,10,3,94,80,19,1,93,3,557,148,27,10/01/2024,09/30/2025
03C0001207,ARIZONA OPHTHALMIC OUTPATIENT SURGERY,"300 E. OSBORN RD, #102",PHOENIX,AZ,85012,,(602) 234-8478,94,5,1,97,86,11,3,92,81,15,4,92,77,18,5,90,,2326,708,30,10/01/2024,09/30/2025
03C0001214,NORTHERN ARIZONA EYE ASSOCIATES,900 N. SAN FRANCISCO ST,FLAGSTAFF,AZ,86001,,(928) 779-7000,97,3,0,99,90,9,1,94,87,11,2,96,88,11,1,96,"3,6",253,65,26,10/01/2024,09/30/2025
03C0001215,ARIZONA INSTITUTE OF EYE SURGERY LLC,3192 WILLOW CREEK RD,PRESCOTT,AZ,86301,,(928) 445-1234,95,4,1,97,87,11,2,92,87,9,4,93,81,16,3,92,3,642,134,21,10/01/2024,09/30/2025
03C0001217,COTTONWOODSOUTHWESTERN EYE CENTER,270 CANDY LANE,COTTONWOOD,AZ,86326,,(480) 892-8400,97,3,0,98,87,10,3,92,80,12,8,90,82,14,4,92,3,572,107,19,10/01/2024,09/30/2025
03C0001220,SQUAW PEAK SURGICAL FACILITY INC,1635 EAST MYRTLE AVE SUITE 100,PHOENIX,AZ,85020,,(602) 944-5656,97,3,0,98,94,5,1,97,89,8,3,96,90,7,3,95,3,566,125,22,10/01/2024,09/30/2025
03C0001228,PHYSICIANS SURGERY CENTER,1800 HWY 95 SUITE 5,BULLHEAD CITY,AZ,86442,,(928) 763-8443,97,3,0,98,88,9,3,92,83,13,4,94,89,9,2,95,3,534,157,29,10/01/2024,09/30/2025
03C0001233,DESERT CLIFFS SURGERY CENTER LLC,2250 WEST SOUTHERN AVE SUITE 101,MESA,AZ,85202,,(480) 404-6979,,,,,,,,,,,,,,,,,1,,,,,
03C0001235,ARIZONA ENDOSCOPY CENTER LLC,1410 EAST MCDOWELL RD,PHOENIX,AZ,85006,,(602) 716-9655,97,3,0,98,92,7,1,96,90,9,1,96,89,10,1,96,,1741,565,32,10/01/2024,09/30/2025
03C0001236,AKDHC SURGERY CENTER LLC,3320 N. 2ND ST.,PHOENIX,AZ,85018,,(602) 200-8288,94,6,0,97,81,15,4,89,73,27,0,92,71,27,2,90,"3,10",402,43,11,10/01/2024,09/30/2025
03C0001239,THUNDERBIRD ENDOSCOPY CENTER,5823 WEST EUGIE AVE,GLENDALE,AZ,85308,,(602) 424-4040,,,,,,,,,,,,,,,,,1,,,,,
03C0001240,TUCSON GASTROENTEROLOGY INSTITUTE LLC,3040 N. SWAN RD. STE. A,TUCSON,AZ,85712,,(520) 382-1154,95,4,1,97,89,8,3,93,85,11,4,93,84,12,4,93,3,544,105,20,10/01/2024,09/30/2025
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,98,1,1,99,92,6,2,95,90,7,3,95,87,10,3,94,,1217,354,29,10/01/2024,09/30/2025
03C0001248,SUNRISE AMBULATORY SURGICAL CENTER,5448 SOUTH WHITE MOUNTAIN BLVD SUITE 100,LAKESIDE,AZ,85929,,(928) 532-3010,95,4,1,97,88,9,3,93,85,12,3,93,85,12,3,93,,1628,473,29,10/01/2024,09/30/2025
03C0001249,SCOTTSDALE ENDOSCOPY ASC LLC DBA SCOTTSDALE ENDOSCOPY CENTER,9787 NORTH 91ST STREET SUITE 103,SCOTTSDALE,AZ,85258,,(480) 657-0889,96,3,1,98,92,6,2,95,91,8,1,96,88,10,2,95,,910,233,26,10/01/2024,09/30/2025
03C0001253,SURGERY CENTER OF GILBERT,6003 EAST BASELINE RD,MESA,AZ,85206,,(480) 641-6500,99,1,0,99,93,6,1,96,93,6,1,96,90,10,0,97,3,819,250,31,10/01/2024,09/30/2025
